Feature,Importance
cp,0.13507197453533204
ca,0.1273270473259574
thalach,0.12216864549468961
oldpeak,0.121904718442662
thal,0.11051814687257032
age,0.07790831761825727
chol,0.07482220268882704
trestbps,0.07117087529075947
exang,0.05759449379975219
slope,0.04578200610925984
sex,0.028731063614836953
restecg,0.018556906142942732
fbs,0.008443602064153139
